batch	slice	signal_id	signal_type	parent_signal_id	pathway	pathwayLabel	ligand	receptor	senderRegion	receiverRegion	interactionStrength	interactionPValue	edge_rank_within_signal	downstreamTF	tf_rank	rawCorrelation	correlation	tfPValue	tfFDR	direction	tfSelectionMode	clusterResultKey	edgeFilterLabel
E125	E125	lr_pair:Inha_Inhba-Acvr2a	lr_pair	pathway:ACTIVIN	ACTIVIN	ACTIVIN	Inha_Inhba	Acvr2a	Fibroblastic	Fibroblastic	5.7913716902064926e-05	0.0	1	Otud4	1.0	0.20913370770897843	0.20913370770897843	1.746034797791067e-05	0.015819075267987065	activation	FDR	commot_cluster-lineage-cellchat-Inha_Inhba-Acvr2a	p<1
E125	E125	lr_pair:Inha_Inhba-Acvr2a	lr_pair	pathway:ACTIVIN	ACTIVIN	ACTIVIN	Inha_Inhba	Acvr2a	Fibroblastic	Fibroblastic	5.7913716902064926e-05	0.0	1	Zfp651	2.0	0.17561392890989458	0.17561392890989458	0.0003247510267163308	0.14711221510249783	activation	FDR	commot_cluster-lineage-cellchat-Inha_Inhba-Acvr2a	p<1
E125	E125	lr_pair:Inha_Inhba-Acvr2a	lr_pair	pathway:ACTIVIN	ACTIVIN	ACTIVIN	Inha_Inhba	Acvr2a	Fibroblastic	Fibroblastic	5.7913716902064926e-05	0.0	1	Hmbox1	3.0	0.16643559115374215	0.16643559115374215	0.0006638335293195596	0.1589719238966406	activation	FDR	commot_cluster-lineage-cellchat-Inha_Inhba-Acvr2a	p<1
E125	E125	lr_pair:Inha_Inhba-Acvr2a	lr_pair	pathway:ACTIVIN	ACTIVIN	ACTIVIN	Inha_Inhba	Acvr2a	Fibroblastic	Fibroblastic	5.7913716902064926e-05	0.0	1	Cnot6	4.0	0.1657005345615035	0.1657005345615035	0.000701862798660665	0.1589719238966406	activation	FDR	commot_cluster-lineage-cellchat-Inha_Inhba-Acvr2a	p<1
E125	E125	lr_pair:Inha_Inhba-Acvr2a	lr_pair	pathway:ACTIVIN	ACTIVIN	ACTIVIN	Inha_Inhba	Acvr2a	Fibroblastic	Fibroblastic	5.7913716902064926e-05	0.0	1	Zfp263	5.0	-0.15308237945302072	0.15308237945302072	0.0017625629742395	0.3193764109321974	repression	FDR	commot_cluster-lineage-cellchat-Inha_Inhba-Acvr2a	p<1
E125	E125	lr_pair:Inhba-Acvr1b_Acvr2b	lr_pair	pathway:ACTIVIN	ACTIVIN	ACTIVIN	Inhba	Acvr1b_Acvr2b	PalatalMes	Epithelial	5.714135083233731e-05	0.0	3	Zfp459	1.0	0.1680753913870262	0.1680753913870262	4.74115775666627e-05	0.044319871628866254	activation	FDR	commot_cluster-lineage-cellchat-Inhba-Acvr1b_Acvr2b	p<1
E125	E125	lr_pair:Inhba-Acvr1b_Acvr2b	lr_pair	pathway:ACTIVIN	ACTIVIN	ACTIVIN	Inhba	Acvr1b_Acvr2b	PalatalMes	Epithelial	5.714135083233731e-05	0.0	3	Tfap2a	2.0	0.1618630640151166	0.1618630640151166	9.017267879728637e-05	0.044319871628866254	activation	FDR	commot_cluster-lineage-cellchat-Inhba-Acvr1b_Acvr2b	p<1
E125	E125	lr_pair:Inhba-Acvr1b_Acvr2b	lr_pair	pathway:ACTIVIN	ACTIVIN	ACTIVIN	Inhba	Acvr1b_Acvr2b	PalatalMes	Epithelial	5.714135083233731e-05	0.0	3	Erf	3.0	0.15063525541324152	0.15063525541324152	0.00027184976411401426	0.08907610604135867	activation	FDR	commot_cluster-lineage-cellchat-Inhba-Acvr1b_Acvr2b	p<1
E125	E125	lr_pair:Inha_Inhba-Acvr2a	lr_pair	pathway:ACTIVIN	ACTIVIN	ACTIVIN	Inha_Inhba	Acvr2a	PalatalMes	PalatalMes	1.6298833940219237e-05	0.0	2									commot_cluster-lineage-cellchat-Inha_Inhba-Acvr2a	p<1
E125	E125	lr_pair:Inhbb-Acvr1b_Acvr2a	lr_pair	pathway:ACTIVIN	ACTIVIN	ACTIVIN	Inhbb	Acvr1b_Acvr2a	Epithelial	Epithelial	5.452580139981669e-06	0.0	1	Stat4	1.0	0.18279240124246526	0.18279240124246526	9.418701053303791e-06	0.007992981753749658	activation	FDR	commot_cluster-lineage-cellchat-Inhbb-Acvr1b_Acvr2a	p<1
E125	E125	lr_pair:Inhbb-Acvr1b_Acvr2a	lr_pair	pathway:ACTIVIN	ACTIVIN	ACTIVIN	Inhbb	Acvr1b_Acvr2a	Epithelial	Epithelial	5.452580139981669e-06	0.0	1	Zfp42	2.0	0.17795182306958407	0.17795182306958407	1.626242472787316e-05	0.007992981753749658	activation	FDR	commot_cluster-lineage-cellchat-Inhbb-Acvr1b_Acvr2a	p<1
