slice,signal_type,parent_signal_id,pathway,ligand,receptor,sender_region,receiver_region,downstreamTF,direction
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3c,Nrp1_Plxna2,Fibroblastic,Fibroblastic,Zbtb41,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3c,Nrp1_Plxna2,Fibroblastic,Fibroblastic,Ikzf3,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3c,Nrp1_Plxna2,Fibroblastic,Fibroblastic,Foxj3,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3b,Nrp1_Plxna2,Fibroblastic,Fibroblastic,Foxc2,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3b,Nrp1_Plxna2,Fibroblastic,Fibroblastic,Zfp457,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3b,Nrp1_Plxna2,Fibroblastic,Fibroblastic,Nfe2,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3b,Nrp1_Plxna2,Fibroblastic,Fibroblastic,BC025920,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3b,Nrp1_Plxna2,Fibroblastic,Fibroblastic,Ak6,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3b,Nrp1_Plxna2,Fibroblastic,Fibroblastic,Zbtb6,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3b,Nrp1_Plxna2,Fibroblastic,Fibroblastic,Zfp691,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3b,Nrp1_Plxna2,Fibroblastic,Fibroblastic,Pitx2,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3b,Nrp1_Plxna2,Fibroblastic,Fibroblastic,Zfp979,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3b,Nrp1_Plxna2,Fibroblastic,Fibroblastic,Zfp422,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3b,Nrp1_Plxna2,Fibroblastic,Fibroblastic,En1,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3b,Nrp1_Plxna2,Fibroblastic,Fibroblastic,Zfp595,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3b,Nrp1_Plxna2,Fibroblastic,Fibroblastic,Pqbp1,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3b,Nrp1_Plxna2,Fibroblastic,Fibroblastic,Zfp687,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3b,Nrp1_Plxna2,Fibroblastic,Fibroblastic,Cebpd,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3b,Nrp1_Plxna2,Fibroblastic,Fibroblastic,Six5,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3b,Nrp1_Plxna2,Fibroblastic,Fibroblastic,Zfp787,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3b,Nrp1_Plxna2,Fibroblastic,Fibroblastic,Atf1,activation
